20x20
3,6,2,2,3,4,3,4,3,7,4,2,1,6,2,2,3,4,2,2,
8,11,14,10,11,4,11,5,14,11,6,10,2,11,13,15,15,4,10,10,
2,8,9,15,13,4,8,2,8,8,10,11,12,10,2,8,9,6,10,10,
10,2,2,11,4,2,2,10,3,6,11,12,2,8,10,3,4,9,14,10,
10,10,11,12,3,12,10,10,8,10,11,7,15,7,15,13,7,4,10,10,
11,13,15,4,11,4,10,10,2,11,14,10,8,10,8,2,11,5,14,10,
9,4,11,4,11,7,14,11,15,14,10,8,2,9,4,10,8,2,10,10,
3,7,15,7,14,10,11,12,8,8,8,2,10,1,7,14,2,10,10,10,
10,10,10,10,10,10,8,3,6,2,2,10,10,2,8,11,15,15,14,10,
10,10,8,8,10,8,2,10,9,13,14,11,15,12,2,10,10,10,11,14,
8,10,3,4,8,2,10,11,4,2,11,14,11,7,13,14,10,10,8,10,
1,14,11,6,2,11,15,12,1,15,14,8,10,11,4,10,8,8,2,10,
2,8,8,11,14,10,11,4,2,10,9,4,8,8,3,14,2,2,9,14,
11,6,2,10,11,14,10,3,15,12,2,3,5,6,8,8,10,11,6,10,
10,9,14,10,10,8,8,8,8,2,11,12,2,11,7,7,15,14,11,14,
9,4,11,14,10,3,5,5,7,13,14,2,11,14,8,8,10,10,8,10,
1,7,14,10,10,10,2,2,9,4,8,11,14,10,3,4,10,11,4,10,
2,8,8,8,10,10,11,15,7,7,6,10,8,10,11,7,14,10,3,14,
10,2,2,2,10,10,10,8,10,10,11,12,2,10,10,10,10,10,10,10,
9,13,13,13,12,8,9,4,8,8,9,4,9,12,8,8,8,8,8,8,
