20
25
2,2,2,1,6,2,3,6,2,2,2,3,6,1,6,2,2,2,2,1,7,4,2,3,6,
10,10,11,4,9,15,14,8,11,14,9,14,8,2,9,14,11,12,11,4,10,2,10,10,8,
10,10,10,2,2,8,10,2,8,11,4,11,6,10,2,10,10,2,10,3,15,12,9,14,2,
11,15,13,14,11,4,11,12,2,10,2,10,8,10,11,13,14,10,10,10,8,2,2,10,10,
8,8,2,10,10,2,11,4,11,12,10,10,2,10,11,6,10,10,10,10,3,12,9,14,10,
2,2,10,11,15,15,15,6,10,3,15,13,13,14,8,8,10,11,12,10,10,3,4,10,10,
11,14,10,10,10,8,10,11,15,14,9,4,2,10,2,2,9,15,4,10,9,14,2,11,14,
10,11,15,14,11,4,8,8,10,8,3,7,15,15,15,15,4,11,4,10,2,10,10,10,8,
10,8,10,8,10,2,2,2,8,2,10,8,8,10,8,11,6,10,2,10,10,10,10,10,2,
10,2,8,2,8,11,12,10,3,12,8,2,3,14,3,12,11,13,15,15,15,15,13,15,14,
10,9,7,14,2,10,2,11,15,4,3,14,8,8,11,4,11,6,10,10,8,9,6,10,8,
9,4,10,9,15,15,15,12,10,2,8,10,2,3,14,3,14,10,10,9,6,2,10,10,2,
3,6,9,4,10,10,8,3,15,15,5,13,14,8,10,10,8,8,8,2,10,11,14,11,14,
8,9,7,4,8,8,1,14,10,9,4,2,11,7,14,11,4,2,3,15,12,10,10,10,10,
2,2,11,7,6,2,2,10,8,3,4,10,10,10,10,11,6,9,14,8,2,10,10,8,10,
11,13,14,8,9,14,11,14,3,15,7,15,14,8,10,10,9,4,10,2,11,14,11,6,10,
11,4,11,4,2,11,14,8,8,10,10,10,8,3,12,11,7,4,10,9,14,8,10,8,10,
11,4,10,3,15,12,9,4,1,14,8,8,2,11,6,10,11,4,11,6,11,4,11,4,10,
10,1,14,10,9,4,2,3,4,10,3,7,15,14,10,10,10,2,10,8,11,6,10,2,10,
9,4,8,8,1,5,13,13,5,12,8,8,8,8,8,8,8,9,13,4,8,8,9,12,8,
